,background_max_distance,kernel_max_distance,textures_max_distance,textures_min_distance,barycenter_distance,group
2982,16.55294535724685,18.384776310850235,33.421549934136806,1.0,15.638566188482018,2
2984,20.591260281974,20.518284528683196,39.6232255123179,1.0,18.64063233731896,2
2986,17.804493814764857,17.029386365926403,36.12478373637688,2.0,20.28425595460101,2
2987,17.08800749063506,19.72308292331602,35.38361202590826,1.0,16.591730666899032,2
2988,17.4928556845359,20.808652046684813,38.18376618407357,1.0,17.388510550921872,2
2989,17.4928556845359,22.80350850198276,40.45985664828782,1.0,20.49802319609903,2
2992,17.88854381999832,22.20360331117452,38.948684188300895,1.0,17.944758844887208,2
2993,20.518284528683196,17.804493814764857,38.18376618407357,1.0,20.446125262213023,2
2994,17.4928556845359,24.04163056034261,41.77319714841085,1.0,23.06675287809711,2
2995,16.492422502470642,15.297058540778355,29.73213749463701,1.0,13.701681022082871,2
2997,18.867962264113206,17.08800749063506,34.713109915419565,1.0,16.15382671618421,2
2998,18.601075237738275,21.095023109728988,38.948684188300895,1.0,18.85282339443357,2
3000,18.35755975068582,16.55294535724685,33.301651610693426,1.0,15.398619557779703,2
3001,16.15549442140351,16.55294535724685,31.827660925679098,1.0,15.219041470029186,2
3002,16.1245154965971,19.72308292331602,34.713109915419565,1.0,16.2754496276512,2
3003,17.204650534085253,24.08318915758459,41.77319714841085,1.0,21.83009728733478,2
3004,15.811388300841896,19.313207915827967,33.60059523282288,1.0,15.75610947072976,2
3005,22.02271554554524,16.64331697709324,38.28837943815329,1.0,19.49961556122745,2
3006,13.601470508735444,14.142135623730953,24.839484696748443,1.0,11.228738767743728,2
3007,17.204650534085253,19.849433241279208,37.48332962798263,1.0,20.007156579402785,2
3008,18.027756377319943,22.67156809750927,40.36087214122113,1.0,20.55457150419662,2
3009,21.2602916254693,15.811388300841896,36.7967389859482,1.0,18.17654864729196,2
3011,17.0,20.0,36.87817782917155,1.0,18.194148271338943,2
3012,17.804493814764857,22.67156809750927,40.311288741492746,1.0,20.390097126431723,2
3013,14.866068747318506,24.839484696748443,42.44997055358225,3.1622776601683795,21.21317192941405,2
3014,16.15549442140351,18.867962264113206,34.713109915419565,1.0,17.073978893537777,2
3016,18.867962264113206,15.620499351813308,33.94112549695428,1.0,15.620004102932738,2
3017,16.1245154965971,15.132745950421556,27.65863337187866,1.0,12.135491332331386,2
3020,24.08318915758459,17.88854381999832,41.10960958218893,1.0,19.46648595713666,2
3021,20.0,18.027756377319943,38.2099463490856,1.0,18.61316122948176,2
3022,23.43074902771996,15.811388300841896,38.948684188300895,1.0,19.09326221520385,2
3023,18.867962264113206,19.849433241279208,38.2099463490856,1.0,18.284209207506954,2
3024,17.4928556845359,19.72308292331602,36.7967389859482,1.0,17.38346965606799,2
3025,20.0,17.4928556845359,37.48332962798263,1.0,18.37580927612019,2
3026,18.867962264113206,15.811388300841896,33.301651610693426,1.0,15.378423137612844,2
3027,21.2602916254693,18.027756377319943,40.45985664828782,2.0,24.97092324393981,2
3028,16.64331697709324,18.027756377319943,34.655446902326915,1.0,15.75480045834646,2
3029,15.652475842498529,15.231546211727816,29.0,1.0,12.309564617973985,2
3030,17.804493814764857,19.4164878389476,36.76955262170047,1.0,17.311476849472633,2
3031,17.72004514666935,17.08800749063506,31.400636936215164,1.0,14.152301204211636,2
3033,17.46424919657298,17.88854381999832,33.24154027718932,1.0,14.505230689196209,2
3039,16.15549442140351,18.027756377319943,31.89043743820395,1.0,14.289910794276755,2
3042,14.317821063276352,14.7648230602334,27.586228448267445,1.0,12.279305529591747,2
3043,13.92838827718412,15.811388300841896,27.018512172212592,1.0,11.553199631030273,2
3044,17.204650534085253,19.4164878389476,36.069377593742864,1.0,15.961270589490676,2
3045,16.1245154965971,16.64331697709324,31.827660925679098,1.0,13.5118547530594,2
3048,15.811388300841896,14.866068747318506,28.42534080710379,1.0,12.801533138858597,2
3049,16.55294535724685,17.0,31.11269837220809,1.0,13.45337018886289,2
3051,15.524174696260024,14.560219778561036,26.248809496813376,1.0,11.984516295266555,2
3054,21.095023109728988,19.4164878389476,39.6232255123179,1.0,17.494765619115174,2
3055,15.811388300841896,18.35755975068582,32.55764119219941,1.0,14.383709076130405,2
3057,17.46424919657298,18.43908891458577,34.713109915419565,1.0,16.87475012652759,2
3061,16.64331697709324,16.15549442140351,30.479501308256346,1.0,13.583989125560736,2
3062,14.317821063276352,14.866068747318506,28.284271247461906,1.0,12.87533678004916,2
3063,16.15549442140351,16.1245154965971,29.8328677803526,1.0,13.334440237224124,2
3064,16.278820596099706,15.524174696260024,28.319604517012596,1.0,12.504866978565545,2
3065,17.4928556845359,15.652475842498529,31.827660925679098,1.0,13.919210497281338,2
3066,19.235384061671343,17.88854381999832,35.4682957019364,1.0,15.939212248779336,2
3067,14.7648230602334,15.811388300841896,29.0,1.0,12.857643601638957,2
3071,17.0,16.64331697709324,32.55764119219941,1.0,14.112627526362504,2
3074,17.69180601295413,19.209372712298546,37.48332962798263,1.0,19.39578000332807,2
3075,18.68154169226941,18.35755975068582,34.828149534536,1.0,16.274958985527157,2
3076,20.0,19.313207915827967,36.069377593742864,1.0,15.912615988972169,2
3080,17.88854381999832,18.027756377319943,34.828149534536,1.0,16.527215182135137,2
3081,18.027756377319943,16.1245154965971,33.24154027718932,1.0,14.53624930196251,2
